name,episodes,av_rating,members,rating,user_id
Basilisk: Kouga Ninpou Chou,24,7.68,98144,7,49
Black Cat,23,7.52,150512,6,49
Naruto,220,7.81,683297,8,69
Rozen Maiden,12,7.57,128688,10,42
Naruto,220,7.81,683297,6,56
Monster,74,8.72,247562,10,97
Prince of Tennis,178,8.04,87643,-1,70
Sunabouzu,24,7.55,65516,7,84
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,8,76
Full Metal Panic! The Second Raid,13,8.06,155340,-1,67
DearS,12,6.8,91037,-1,86
Full Metal Panic? Fumoffu,12,8.21,171086,9,22
Neon Genesis Evangelion,26,8.32,461946,10,51
Full Metal Panic! The Second Raid,13,8.06,155340,6,86
Monster,74,8.72,247562,9,2
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,4,81
Naruto,220,7.81,683297,7,80
Neon Genesis Evangelion,26,8.32,461946,7,37
Chrno Crusade,24,7.8,140865,8,44
Full Metal Panic!,24,7.81,256325,8,21
Neon Genesis Evangelion,26,8.32,461946,6,13
Texhnolyze,22,7.78,95859,10,55
Neon Genesis Evangelion,26,8.32,461946,5,51
Naruto,220,7.81,683297,10,19
Naruto,220,7.81,683297,7,58
Avenger,13,6.02,12286,7,7
Kidou Tenshi Angelic Layer,26,7.32,39758,6,52
Full Metal Panic!,24,7.81,256325,7,10
Naruto,220,7.81,683297,7,71
Neon Genesis Evangelion,26,8.32,461946,-1,42
Berserk,25,8.4,226430,7,27
Mobile Suit Gundam Seed,50,7.93,96973,7,7
Rozen Maiden: Tr?umend,12,7.78,72645,6,90
Trigun,26,8.32,283069,8,17
Mobile Fighter G Gundam,49,7.62,36338,9,62
Witch Hunter Robin,26,7.36,64905,7,35
Aa! Megami-sama! (TV),24,7.45,96694,-1,2
Full Metal Panic? Fumoffu,12,8.21,171086,9,48
Black Cat,23,7.52,150512,8,56
Mai-Otome,26,7.4,36924,8,91
Neon Genesis Evangelion,26,8.32,461946,10,52
Neon Genesis Evangelion,26,8.32,461946,-1,5
Trinity Blood,24,7.44,113791,6,83
Berserk,25,8.4,226430,-1,90
Naruto,220,7.81,683297,9,13
Chobits,26,7.57,266846,7,13
Neon Genesis Evangelion,26,8.32,461946,10,8
Neon Genesis Evangelion,26,8.32,461946,8,8
Black Cat,23,7.52,150512,6,75
Full Metal Panic? Fumoffu,12,8.21,171086,9,6
Cowboy Bebop,26,8.82,486824,-1,83
Chobits,26,7.57,266846,10,96
Trinity Blood,24,7.44,113791,7,26
D.C.: Da Capo,26,6.93,49909,8,18
Hachimitsu to Clover,24,8.18,130646,-1,35
Hungry Heart: Wild Striker,52,7.74,13469,9,74
Shuffle!,24,7.31,158772,7,86
D.C.: Da Capo,26,6.93,49909,10,48
Trigun,26,8.32,283069,7,23
D.N.Angel,26,7.35,126914,8,50
Mobile Suit Gundam Seed Destiny,50,7.36,65896,9,81
Chrno Crusade,24,7.8,140865,10,50
Yakitate!! Japan,69,8.05,50876,8,31
Shuffle!,24,7.31,158772,7,58
Naruto,220,7.81,683297,9,55
Rozen Maiden: Tr?umend,12,7.78,72645,7,88
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,34
Basilisk: Kouga Ninpou Chou,24,7.68,98144,8,91
Blue Gender,26,7.13,40581,5,92
Chobits,26,7.57,266846,7,30
Chobits,26,7.57,266846,7,96
Naruto,220,7.81,683297,-1,56
Gakuen Alice,26,7.8,52995,8,25
Azumanga Daioh,26,8.06,170901,7,6
Trigun,26,8.32,283069,8,76
Azumanga Daioh,26,8.06,170901,-1,71
Initial D Fourth Stage,24,8.24,41584,8,85
Cowboy Bebop,26,8.82,486824,8,51
Naruto,220,7.81,683297,10,57
Neon Genesis Evangelion,26,8.32,461946,6,10
D.N.Angel,26,7.35,126914,-1,31
Cowboy Bebop,26,8.82,486824,-1,97
Naruto,220,7.81,683297,6,94
Mobile Suit Gundam Wing,49,7.87,86001,9,38
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,43
Aa! Megami-sama! (TV),24,7.45,96694,6,92
Neon Genesis Evangelion,26,8.32,461946,9,73
Cowboy Bebop,26,8.82,486824,8,91
Trinity Blood,24,7.44,113791,8,81
Rozen Maiden,12,7.57,128688,8,15
Cowboy Bebop,26,8.82,486824,10,63
Naruto,220,7.81,683297,7,54
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,-1,4
School Rumble,26,8.06,178553,10,81
Black Cat,23,7.52,150512,9,29
D.N.Angel,26,7.35,126914,8,22
Chobits,26,7.57,266846,8,73
Mobile Suit Zeta Gundam,50,8.03,28959,8,7
Naruto,220,7.81,683297,8,14
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,62
Mai-Otome,26,7.4,36924,5,57
DearS,12,6.8,91037,4,84
Black Cat,23,7.52,150512,9,49
Rozen Maiden,12,7.57,128688,5,64
Full Metal Panic? Fumoffu,12,8.21,171086,9,84
D.C.: Da Capo,26,6.93,49909,7,6
Naruto,220,7.81,683297,-1,29
Chobits,26,7.57,266846,-1,86
Rozen Maiden: Tr?umend,12,7.78,72645,8,38
Cowboy Bebop,26,8.82,486824,7,43
Full Metal Panic? Fumoffu,12,8.21,171086,-1,55
Gakuen Alice,26,7.8,52995,8,87
Rozen Maiden,12,7.57,128688,5,49
Witch Hunter Robin,26,7.36,64905,8,53
Rozen Maiden,12,7.57,128688,10,13
Full Metal Panic! The Second Raid,13,8.06,155340,9,30
Cowboy Bebop,26,8.82,486824,9,60
Full Metal Panic!,24,7.81,256325,8,3
Cowboy Bebop,26,8.82,486824,-1,58
Sunabouzu,24,7.55,65516,8,23
Naruto,220,7.81,683297,9,53
Naruto,220,7.81,683297,8,11
Beck,26,8.4,148328,9,89
Prince of Tennis,178,8.04,87643,7,97
Witch Hunter Robin,26,7.36,64905,10,97
Hachimitsu to Clover,24,8.18,130646,7,95
Cowboy Bebop,26,8.82,486824,8,88
Neon Genesis Evangelion,26,8.32,461946,-1,43
Berserk,25,8.4,226430,8,92
Full Metal Panic! The Second Raid,13,8.06,155340,10,71
Chrno Crusade,24,7.8,140865,-1,55
Full Metal Panic? Fumoffu,12,8.21,171086,9,32
Aa! Megami-sama! (TV),24,7.45,96694,-1,73
Full Metal Panic? Fumoffu,12,8.21,171086,10,33
Cowboy Bebop,26,8.82,486824,9,72
Azumanga Daioh,26,8.06,170901,10,95
Cowboy Bebop,26,8.82,486824,7,23
School Rumble,26,8.06,178553,7,35
Cowboy Bebop,26,8.82,486824,-1,37
Full Metal Panic!,24,7.81,256325,8,10
Naruto,220,7.81,683297,7,95
Full Metal Panic!,24,7.81,256325,7,56
Aa! Megami-sama! (TV),24,7.45,96694,8,50
Naruto,220,7.81,683297,5,62
Mai-HiME,26,7.59,76492,7,84
Prince of Tennis,178,8.04,87643,-1,19
Naruto,220,7.81,683297,9,42
Trinity Blood,24,7.44,113791,9,22
Full Metal Panic! The Second Raid,13,8.06,155340,7,93
Mobile Suit Gundam Seed,50,7.93,96973,7,90
Yakitate!! Japan,69,8.05,50876,8,26
Full Metal Panic!,24,7.81,256325,6,60
Naruto,220,7.81,683297,9,99
Chobits,26,7.57,266846,-1,39
Naruto,220,7.81,683297,-1,62
Black Cat,23,7.52,150512,-1,41
Chobits,26,7.57,266846,10,3
Monster,74,8.72,247562,9,70
Initial D Fourth Stage,24,8.24,41584,8,17
Full Metal Panic! The Second Raid,13,8.06,155340,8,89
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,10,27
Beck,26,8.4,148328,9,9
Chobits,26,7.57,266846,4,66
Chobits,26,7.57,266846,8,18
Berserk,25,8.4,226430,8,60
Cowboy Bebop,26,8.82,486824,10,45
Aa! Megami-sama! (TV),24,7.45,96694,6,42
Kidou Tenshi Angelic Layer,26,7.32,39758,8,39
Trigun,26,8.32,283069,8,37
Naruto,220,7.81,683297,-1,85
Naruto,220,7.81,683297,7,93
Full Metal Panic! The Second Raid,13,8.06,155340,-1,74
Trigun,26,8.32,283069,-1,42
D.C.: Da Capo,26,6.93,49909,7,21
Full Metal Panic! The Second Raid,13,8.06,155340,8,99
Naruto,220,7.81,683297,8,41
Full Metal Panic! The Second Raid,13,8.06,155340,8,46
Trinity Blood,24,7.44,113791,9,60
Trigun,26,8.32,283069,8,23
DearS,12,6.8,91037,8,34
Cowboy Bebop,26,8.82,486824,10,65
Cowboy Bebop,26,8.82,486824,9,99
Basilisk: Kouga Ninpou Chou,24,7.68,98144,9,83
Beck,26,8.4,148328,9,93
Prince of Tennis,178,8.04,87643,-1,10
Trigun,26,8.32,283069,9,91
Full Metal Panic!,24,7.81,256325,9,56
Trigun,26,8.32,283069,8,68
Black Cat,23,7.52,150512,-1,31
Shuffle!,24,7.31,158772,8,25
Shuffle!,24,7.31,158772,5,21
Chrno Crusade,24,7.8,140865,8,31
Chobits,26,7.57,266846,8,30
Cowboy Bebop,26,8.82,486824,10,75
Cowboy Bebop,26,8.82,486824,10,2
Berserk,25,8.4,226430,10,3
Trigun,26,8.32,283069,8,62
Black Cat,23,7.52,150512,7,1
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,17
Naruto,220,7.81,683297,8,50
Full Metal Panic!,24,7.81,256325,8,5
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,89
Cowboy Bebop,26,8.82,486824,8,24
Mai-Otome,26,7.4,36924,6,17
Kidou Tenshi Angelic Layer,26,7.32,39758,8,70
Rozen Maiden: Tr?umend,12,7.78,72645,8,27
Chrno Crusade,24,7.8,140865,9,80
Naruto,220,7.81,683297,7,60
Full Metal Panic? Fumoffu,12,8.21,171086,8,24
D.N.Angel,26,7.35,126914,7,60
Monster,74,8.72,247562,8,93
Trigun,26,8.32,283069,10,55
Full Metal Panic! The Second Raid,13,8.06,155340,-1,31
Neon Genesis Evangelion,26,8.32,461946,9,73
School Rumble,26,8.06,178553,-1,11
Berserk,25,8.4,226430,8,67
Naruto,220,7.81,683297,7,84
Prince of Tennis,178,8.04,87643,7,60
Monster,74,8.72,247562,10,69
Mai-Otome,26,7.4,36924,9,53
Black Cat,23,7.52,150512,6,57
Azumanga Daioh,26,8.06,170901,8,98
Naruto,220,7.81,683297,4,74
Neon Genesis Evangelion,26,8.32,461946,7,85
Arc the Lad,26,6.62,10392,6,29
Gakuen Alice,26,7.8,52995,10,54
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,51
Mobile Suit Gundam Wing,49,7.87,86001,7,26
Neon Genesis Evangelion,26,8.32,461946,6,44
Full Metal Panic!,24,7.81,256325,-1,46
D.N.Angel,26,7.35,126914,5,37
Mobile Suit Gundam Seed,50,7.93,96973,8,25
Last Exile,26,7.94,104193,8,74
D.N.Angel,26,7.35,126914,10,52
Full Metal Panic? Fumoffu,12,8.21,171086,7,22
Cowboy Bebop,26,8.82,486824,9,21
Naruto,220,7.81,683297,6,100
Cowboy Bebop,26,8.82,486824,9,46
Cowboy Bebop,26,8.82,486824,8,93
Full Metal Panic? Fumoffu,12,8.21,171086,-1,55
Avenger,13,6.02,12286,-1,46
Initial D Fourth Stage,24,8.24,41584,8,45
Chobits,26,7.57,266846,6,94
Chrno Crusade,24,7.8,140865,8,79
Cowboy Bebop,26,8.82,486824,7,9
D.N.Angel,26,7.35,126914,8,98
Mobile Suit Gundam Seed,50,7.93,96973,-1,81
Chrno Crusade,24,7.8,140865,-1,16
Trigun,26,8.32,283069,8,14
Last Exile,26,7.94,104193,9,97
Mobile Suit Gundam Seed,50,7.93,96973,10,49
Prince of Tennis,178,8.04,87643,10,77
Monster,74,8.72,247562,10,77
Naruto,220,7.81,683297,7,52
Neon Genesis Evangelion,26,8.32,461946,6,78
Full Metal Panic!,24,7.81,256325,-1,30
Cowboy Bebop,26,8.82,486824,10,27
Naruto,220,7.81,683297,7,49
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,45
Full Metal Panic! The Second Raid,13,8.06,155340,-1,58
Shuffle!,24,7.31,158772,10,90
Naruto,220,7.81,683297,-1,95
Mobile Suit Gundam Seed,50,7.93,96973,9,52
Trinity Blood,24,7.44,113791,6,61
Trigun,26,8.32,283069,-1,83
Mobile Suit Gundam Wing,49,7.87,86001,7,17
Chrno Crusade,24,7.8,140865,-1,74
Cowboy Bebop,26,8.82,486824,8,49
Trinity Blood,24,7.44,113791,8,55
Chobits,26,7.57,266846,10,11
Initial D Fourth Stage,24,8.24,41584,-1,37
Berserk,25,8.4,226430,7,65
Full Metal Panic!,24,7.81,256325,6,25
Naruto,220,7.81,683297,4,92
School Rumble,26,8.06,178553,9,44
Neon Genesis Evangelion,26,8.32,461946,10,37
Naruto,220,7.81,683297,8,44
Beck,26,8.4,148328,9,69
Witch Hunter Robin,26,7.36,64905,-1,42
Cowboy Bebop,26,8.82,486824,10,99
Cowboy Bebop,26,8.82,486824,8,88
Mai-Otome,26,7.4,36924,-1,72
Aa! Megami-sama! (TV),24,7.45,96694,6,83
Full Metal Panic!,24,7.81,256325,8,52
DearS,12,6.8,91037,7,5
Sunabouzu,24,7.55,65516,-1,95
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,6,74
Cowboy Bebop,26,8.82,486824,10,74
Ai Yori Aoshi,24,7.24,66597,7,79
Monster,74,8.72,247562,8,82
Chobits,26,7.57,266846,10,45
Chrno Crusade,24,7.8,140865,-1,35
Neon Genesis Evangelion,26,8.32,461946,7,57
Trigun,26,8.32,283069,8,77
Turn A Gundam,50,7.76,20056,10,15
Naruto,220,7.81,683297,7,73
Full Metal Panic! The Second Raid,13,8.06,155340,-1,56
Ai Yori Aoshi,24,7.24,66597,6,74
Chrno Crusade,24,7.8,140865,8,94
Naruto,220,7.81,683297,7,27
Full Metal Panic! The Second Raid,13,8.06,155340,8,70
Kidou Tenshi Angelic Layer,26,7.32,39758,5,76
Kidou Tenshi Angelic Layer,26,7.32,39758,9,13
Shuffle!,24,7.31,158772,8,31
Last Exile,26,7.94,104193,7,82
Full Metal Panic! The Second Raid,13,8.06,155340,8,92
Azumanga Daioh,26,8.06,170901,9,97
Aa! Megami-sama! (TV),24,7.45,96694,9,54
Sunabouzu,24,7.55,65516,8,39
Turn A Gundam,50,7.76,20056,4,33
Berserk,25,8.4,226430,8,18
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,7,90
Full Metal Panic? Fumoffu,12,8.21,171086,10,97
Cowboy Bebop,26,8.82,486824,8,50
Aa! Megami-sama! (TV),24,7.45,96694,8,11
Black Cat,23,7.52,150512,5,47
Full Metal Panic!,24,7.81,256325,8,91
Neon Genesis Evangelion,26,8.32,461946,9,68
Cowboy Bebop,26,8.82,486824,10,41
Mobile Suit Gundam Seed,50,7.93,96973,10,90
Neon Genesis Evangelion,26,8.32,461946,7,91
Full Metal Panic! The Second Raid,13,8.06,155340,8,58
Trinity Blood,24,7.44,113791,7,19
D.N.Angel,26,7.35,126914,7,18
Gakuen Alice,26,7.8,52995,9,57
Full Metal Panic? Fumoffu,12,8.21,171086,9,4
D.N.Angel,26,7.35,126914,7,19
D.N.Angel,26,7.35,126914,10,3
Texhnolyze,22,7.78,95859,6,89
Kidou Tenshi Angelic Layer,26,7.32,39758,9,94
Full Metal Panic? Fumoffu,12,8.21,171086,8,10
Full Metal Panic! The Second Raid,13,8.06,155340,6,33
Monster,74,8.72,247562,10,75
Yakitate!! Japan,69,8.05,50876,7,3
Neon Genesis Evangelion,26,8.32,461946,7,28
Full Metal Panic! The Second Raid,13,8.06,155340,7,21
Mobile Suit Zeta Gundam,50,8.03,28959,8,59
Prince of Tennis,178,8.04,87643,8,94
Mobile Suit Gundam Seed Destiny,50,7.36,65896,9,11
Cowboy Bebop,26,8.82,486824,10,51
Cowboy Bebop,26,8.82,486824,9,9
Mobile Suit Gundam Seed Destiny,50,7.36,65896,8,6
Yakitate!! Japan,69,8.05,50876,9,57
Shuffle!,24,7.31,158772,-1,46
Black Cat,23,7.52,150512,7,20
Cowboy Bebop,26,8.82,486824,8,70
Naruto,220,7.81,683297,7,96
Chrno Crusade,24,7.8,140865,8,33
Mobile Suit Gundam Wing,49,7.87,86001,-1,12
Ai Yori Aoshi,24,7.24,66597,5,20
Mobile Suit Gundam Wing,49,7.87,86001,10,33
Naruto,220,7.81,683297,7,73
Shuffle!,24,7.31,158772,5,57
School Rumble,26,8.06,178553,9,64
Trigun,26,8.32,283069,8,24
Mai-HiME,26,7.59,76492,8,11
Full Metal Panic!,24,7.81,256325,9,97
Neon Genesis Evangelion,26,8.32,461946,3,82
Yakitate!! Japan,69,8.05,50876,10,45
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,81
DearS,12,6.8,91037,8,54
Cowboy Bebop,26,8.82,486824,-1,100
Full Metal Panic? Fumoffu,12,8.21,171086,8,93
Trinity Blood,24,7.44,113791,9,92
Mobile Suit Gundam Seed,50,7.93,96973,10,86
Cowboy Bebop,26,8.82,486824,9,86
Cowboy Bebop,26,8.82,486824,9,30
Berserk,25,8.4,226430,-1,4
Eyeshield 21,145,8.08,83648,8,17
Trinity Blood,24,7.44,113791,-1,7
Neon Genesis Evangelion,26,8.32,461946,-1,51
Chobits,26,7.57,266846,10,70
Aa! Megami-sama! (TV),24,7.45,96694,8,25
Chobits,26,7.57,266846,10,39
Blue Gender,26,7.13,40581,7,75
Full Metal Panic!,24,7.81,256325,10,8
Trigun,26,8.32,283069,9,86
Chobits,26,7.57,266846,8,49
Naruto,220,7.81,683297,7,81
Chobits,26,7.57,266846,8,43
Cowboy Bebop,26,8.82,486824,9,73
Neon Genesis Evangelion,26,8.32,461946,8,71
Rozen Maiden: Tr?umend,12,7.78,72645,8,64
Neon Genesis Evangelion,26,8.32,461946,10,78
Naruto,220,7.81,683297,9,81
Basilisk: Kouga Ninpou Chou,24,7.68,98144,-1,40
Shuffle!,24,7.31,158772,-1,42
Mobile Suit Gundam Seed,50,7.93,96973,8,100
Full Metal Panic! The Second Raid,13,8.06,155340,8,44
Mai-Otome,26,7.4,36924,7,73
Azumanga Daioh,26,8.06,170901,10,74
Cowboy Bebop,26,8.82,486824,7,77
Full Metal Panic! The Second Raid,13,8.06,155340,7,56
Ai Yori Aoshi,24,7.24,66597,2,67
Naruto,220,7.81,683297,10,23
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,7,58
Full Metal Panic!,24,7.81,256325,9,61
Mobile Suit Gundam Wing,49,7.87,86001,8,17
Beck,26,8.4,148328,9,69
Mobile Suit Gundam Seed Destiny,50,7.36,65896,-1,2
Chobits,26,7.57,266846,-1,27
Rozen Maiden: Tr?umend,12,7.78,72645,10,80
Cowboy Bebop,26,8.82,486824,10,61
Full Metal Panic? Fumoffu,12,8.21,171086,9,87
Chrno Crusade,24,7.8,140865,7,33
Sunabouzu,24,7.55,65516,9,33
Last Exile,26,7.94,104193,9,23
Witch Hunter Robin,26,7.36,64905,7,86
Full Metal Panic? Fumoffu,12,8.21,171086,7,88
School Rumble,26,8.06,178553,7,59
Neon Genesis Evangelion,26,8.32,461946,8,19
DearS,12,6.8,91037,6,25
Naruto,220,7.81,683297,-1,22
School Rumble,26,8.06,178553,9,53
Aa! Megami-sama! (TV),24,7.45,96694,7,8
Mobile Suit Zeta Gundam,50,8.03,28959,9,33
Witch Hunter Robin,26,7.36,64905,5,86
Neon Genesis Evangelion,26,8.32,461946,9,90
DearS,12,6.8,91037,-1,20
D.N.Angel,26,7.35,126914,7,88
Cowboy Bebop,26,8.82,486824,-1,91
Neon Genesis Evangelion,26,8.32,461946,5,60
Full Metal Panic! The Second Raid,13,8.06,155340,-1,96
Naruto,220,7.81,683297,10,87
Trigun,26,8.32,283069,7,40
Naruto,220,7.81,683297,9,64
Full Metal Panic! The Second Raid,13,8.06,155340,8,90
Prince of Tennis,178,8.04,87643,8,71
Cowboy Bebop,26,8.82,486824,9,32
Trigun,26,8.32,283069,10,32
Yakitate!! Japan,69,8.05,50876,-1,42
Naruto,220,7.81,683297,8,44
Mobile Suit Gundam,43,7.89,51566,7,45
Last Exile,26,7.94,104193,9,75
Monster,74,8.72,247562,10,30
D.C.: Da Capo,26,6.93,49909,7,76
Naruto,220,7.81,683297,8,27
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,63
Last Exile,26,7.94,104193,8,77
Aa! Megami-sama! (TV),24,7.45,96694,6,20
Cowboy Bebop,26,8.82,486824,10,24
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,16
D.N.Angel,26,7.35,126914,-1,6
Prince of Tennis,178,8.04,87643,10,8
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,14
Azumanga Daioh,26,8.06,170901,9,36
School Rumble,26,8.06,178553,5,94
Azumanga Daioh,26,8.06,170901,6,92
Ai Yori Aoshi,24,7.24,66597,8,38
Naruto,220,7.81,683297,-1,50
Neon Genesis Evangelion,26,8.32,461946,-1,89
