id,是否有房,是否有车,是否有孩,近6个月异地交易金额均值,近6个月交易金额,近6个月有交易月份数
567,0,0,0,2523.0,22548.0,6
568,0,0,1,,,0
569,0,0,0,,,0
570,0,0,0,,,0
571,0,0,0,4474.75,22278.94,6
572,0,0,0,152.0,511.7,2
573,1,0,0,1220.115,3469.23,4
574,0,0,0,1556.9375,6227.75,4
575,0,0,0,5692.344,29281.29,5
576,0,0,0,5868.2966670000005,35209.78,6
577,0,0,0,6708.74,41722.96,5
578,1,0,1,1517.0,6068.0,4
579,0,0,1,15222.06333,91332.38,6
580,0,0,1,601.5,2110.0,3
581,0,0,0,,39.0,1
582,0,0,0,2133.805,8535.22,4
583,1,0,0,,,0
584,0,0,0,744.48,1488.96,2
585,0,0,0,12717.37333,76304.24,6
586,0,0,0,,,0
587,0,0,0,2992.0,2992.0,1
588,1,0,0,1253.54,2507.08,2
589,0,0,0,7541.63,45249.78,6
590,0,0,0,,,0
591,0,0,1,2167.506,11739.03,6
592,0,0,0,2996.23,17977.38,6
593,0,0,0,,,0
594,0,0,1,3596.632,19023.96,5
595,0,0,0,6537.06,39222.36,6
596,1,0,1,1298.84,3397.68,3
597,0,0,0,10680.53,64083.18,6
598,0,0,0,7774.435,46646.61,6
599,0,0,0,486.0,486.0,1
600,0,0,0,5311.666667,15935.0,3
601,0,0,0,1817.5,7468.0,5
602,0,0,0,4211.066667,25266.4,6
603,0,0,0,,,0
604,0,0,0,48.245,96.49,2
605,0,0,0,,,0
606,0,0,0,4016.626667,12049.88,3
607,0,0,0,170.8,16959.8,5
608,0,0,0,19378.0,19524.95,2
609,0,0,1,,,0
610,0,0,0,,,0
611,0,0,0,946.75,3787.0,4
612,0,0,0,,1000.0,1
613,0,0,0,3723.7,23124.7,6
614,0,0,0,14533.216,73464.15,5
615,0,0,0,1375.1575,5500.63,4
616,0,0,0,,1116.0,2
617,1,0,0,16952.50333,51102.51,3
618,0,0,0,3252.163333,19512.98,6
619,0,0,0,2900.0,2900.0,1
620,1,0,0,10001.195,23740.39,5
621,0,0,0,,,0
622,0,0,1,6252.511667,37515.07,6
623,0,0,0,6723.016667,49020.22,6
624,1,0,1,1700.0,3400.0,2
625,0,0,0,102.9,102.9,1
626,0,1,0,3333.333333,13082.59,4
627,1,0,0,,800.0,1
628,0,0,0,5379.4,21825.8,3
629,0,0,0,,,0
630,0,0,0,,,0
631,0,0,0,2448.9525,9895.81,4
632,1,0,0,,,0
633,0,0,0,1045.27,2090.54,2
634,0,0,0,1745.4,8841.0,5
635,0,0,0,7.5,30.8,2
636,0,0,0,,,0
637,0,0,0,10306.66667,61840.0,6
638,0,0,0,,,0
639,1,0,0,1899.265,7853.86,4
640,1,0,0,3183.216667,19099.3,6
641,1,0,1,,,0
642,0,0,0,116.52,633.04,3
643,0,0,1,6132.573333,229697.72,5
644,0,0,0,,,0
645,1,0,0,791.96,791.96,1
646,0,0,0,2255.525,9022.1,4
647,1,0,0,195.0,390.0,2
648,1,0,0,,,0
649,1,0,1,2768.646667,16611.88,6
650,0,0,1,,,0
651,0,0,0,5529.693333,17357.08,5
652,1,0,1,6234.98,18790.24,4
653,1,0,0,2060.0,10300.0,5
654,0,0,0,951.0,1316.0,4
655,1,0,0,148.0,2148.0,2
656,0,0,0,7005.625,28022.5,4
657,0,0,0,2641.4320000000002,13207.16,5
658,1,0,1,,,0
659,0,0,0,4846.333333,29078.0,6
660,1,0,0,,,0
661,0,0,0,9848.55,94848.55,1
662,0,0,1,,,0
663,0,0,0,,22.0,1
664,0,0,0,1809.5666670000003,5428.7,3
665,0,0,0,818.0,4913.1,3
666,0,0,0,1903.5,3807.0,2
667,0,0,0,4498.415,26990.49,6
668,0,0,1,1850.0,7641.0,4
669,0,0,0,,,0
670,1,0,0,,,0
671,0,0,0,5017.348333,30104.09,6
672,0,0,0,5237.26,31423.56,6
673,0,0,0,1169.652,5848.26,5
674,0,0,0,16506.37,99088.22,6
675,0,0,0,2822.2525,11289.01,4
676,0,0,0,,,0
677,0,0,0,1218.333333,3655.0,3
678,0,0,0,839.88,839.88,1
679,0,0,0,,,0
680,1,0,1,,,0
681,1,0,0,8568.956,42844.78,5
682,0,0,0,,190.0,1
683,0,0,0,28.9,28.9,1
684,0,0,0,183224.3267,550290.98,4
685,1,0,0,910.0,910.0,1
686,0,0,0,1685.3333329999998,5156.0,3
687,0,0,0,,,0
688,0,0,0,830.0,930.0,2
689,0,0,0,2742.0,8226.0,3
690,0,0,0,,,0
691,0,0,0,,562.15,3
692,1,0,0,400.0,400.0,1
693,0,0,0,2439.18,7332.54,4
694,0,0,0,,731.82,1
695,1,0,0,5807.883333,63112.3,6
696,0,0,0,353.0,2086.5,5
697,0,0,0,,,0
698,0,0,0,,,0
699,0,0,0,1951.5,11734.0,6
700,0,0,0,,,0
701,1,0,0,2053.495,8213.98,4
702,0,0,0,4450.1,24436.1,5
703,0,0,0,81060.04333,486360.26,6
704,0,0,0,4626.5,27759.0,6
705,0,0,1,1341.28,6706.4,5
706,0,0,0,1400.0,45261.0,5
707,0,0,1,,,0
708,0,0,1,4997.866667,30212.8,6
709,0,0,0,46347.12833,278082.77,6
710,0,0,0,,,0
711,0,0,0,480.0,930.0,3
712,1,0,0,8642.8325,34571.33,4
713,0,0,0,,,0
714,0,0,0,597.72,597.72,1
715,0,0,0,2111.666667,6425.0,4
716,0,0,1,,,0
717,0,0,0,,,0
718,0,0,0,,,0
719,0,0,0,,,0
720,1,0,0,7787.95,15575.9,2
721,1,0,0,3189.982,16626.91,5
722,1,0,1,6835.005999999999,36274.03,5
723,0,0,0,417.7525,17335.01,5
724,0,0,0,3446.73,6893.46,2
725,0,0,0,,2133.0,2
726,1,0,0,44738.96167,268433.77,6
727,0,0,0,,3669.02,1
728,0,0,0,,,0
729,0,0,1,1871.625,3743.25,2
730,0,0,0,,,0
731,0,0,0,256.0,768.0,3
732,1,0,0,3340.5883329999997,23704.53,6
733,0,0,0,8588.525,34354.1,4
734,0,0,0,,,0
735,0,0,0,14320.708330000001,85924.25,6
736,0,0,0,,756.0,2
737,0,0,0,1403.666667,4211.0,3
738,0,0,0,5784.036667,17352.11,3
739,0,0,0,3746.995,7493.99,2
740,1,0,0,3798.0,9720.0,2
741,0,0,0,,,0
742,0,0,0,435.81,2038.08,2
743,0,0,0,12482.29333,74893.76,6
744,0,0,0,14019.21,28348.42,3
745,1,0,1,19016.80833,114100.85,6
746,0,0,0,,3348.0,3
747,0,0,0,3017.333333,18104.0,6
748,0,0,0,,399.0,1
749,0,0,0,368.0,368.0,1
750,0,0,0,1501.013333,4503.04,3
751,0,0,0,7066.021667,46460.73,6
752,0,0,0,2375.623333,14253.74,6
753,0,0,0,,,0
754,0,0,0,,518.0,1
755,1,0,1,6673.0,6673.0,1
756,0,0,1,271.5,1190.0,2
757,0,0,1,2316.8,9636.2,5
758,0,0,0,3683.4,18417.0,5
759,1,0,0,12027.56,15147.96,5
760,0,0,0,1931.9375,8100.05,6
761,0,0,0,2668.833333,8140.9,4
762,0,0,0,3509.6,17548.0,5
763,0,0,0,1276.775,7537.11,5
764,0,0,0,22733.29,90933.16,4
765,1,0,1,907.5,907.5,1
