商品名,用户编号,购买数量,购买日期,购买单价
GP,7075124e8f,1,2021/8/24,598
GP,7075124e8f,2,2021/8/9,598
GP,7075124e8f,1,2021/8/9,598
GP,7075124e8f,2,2021/8/9,598
GP,650c8ff2f2,4,2021/7/7,598
GP,650c8ff2f2,1,2021/4/1,598
GP,650c8ff2f2,1,2021/5/18,598
GP,650c8ff2f2,1,2021/5/14,598
GP,650c8ff2f2,4,2021/6/16,598
GP,650c8ff2f2,1,2021/3/5,598
GP,650c8ff2f2,2,2021/6/30,598
GP,650c8ff2f2,1,2021/1/14,598
GP,85697ece3b,1,2021/9/17,598
GP,85697ece3b,1,2021/6/10,598
GP,85697ece3b,2,2021/6/3,598
GP,85697ece3b,1,2021/7/7,598
GP,85697ece3b,2,2021/1/11,598
GP,85697ece3b,1,2021/7/2,598
GP,85697ece3b,1,2021/1/12,598
GP,85697ece3b,1,2021/1/21,598
GP,5dd4b24ed3,3,2021/1/21,598
GP,5dd4b24ed3,1,2021/9/23,598
GP,5dd4b24ed3,2,2021/9/24,598
GP,5dd4b24ed3,4,2021/9/24,598
GP,5dd4b24ed3,1,2021/4/16,598
GP,5dd4b24ed3,1,2021/7/1,598
GP,5dd4b24ed3,1,2021/4/12,598
GP,5dd4b24ed3,2,2021/1/14,598
GP,5dd4b24ed3,2,2021/7/30,598
GP,5dd4b24ed3,4,2021/1/7,598
GP,95b5d2890b,4,2021/3/10,598
GP,95b5d2890b,4,2021/6/23,598
GP,95b5d2890b,2,2021/6/23,598
GP,95b5d2890b,1,2021/2/4,598
GP,95b5d2890b,4,2021/9/23,598
GP,95b5d2890b,3,2021/3/15,598
GP,95b5d2890b,2,2021/5/12,598
GP,95b5d2890b,1,2021/4/20,598
GP,95b5d2890b,1,2021/7/11,598
GP,95b5d2890b,4,2021/8/22,598
GP,95b5d2890b,1,2021/8/9,598
GP,95b5d2890b,3,2021/3/21,598
GP,95b5d2890b,4,2021/2/23,598
GP,95b5d2890b,3,2021/8/6,598
GP,95b5d2890b,4,2021/7/7,598
GP,95b5d2890b,1,2021/7/17,598
GP,95b5d2890b,3,2021/8/3,598
GP,95b5d2890b,3,2021/8/11,598
GP,95b5d2890b,3,2021/8/30,598
GP,8eb9aefc94,1,2021/3/18,598
GP,8eb9aefc94,1,2021/9/20,598
GP,8eb9aefc94,3,2021/9/17,598
GP,8eb9aefc94,1,2021/6/16,598
GP,8eb9aefc94,4,2021/9/20,598
GP,8eb9aefc94,1,2021/7/15,598
GP,8eb9aefc94,1,2021/8/23,598
GP,8eb9aefc94,4,2021/8/29,598
GP,8eb9aefc94,2,2021/6/8,598
GP,28479d27a7,1,2021/2/20,598
GP,28479d27a7,1,2021/9/18,598
GP,28479d27a7,4,2021/5/28,598
GP,28479d27a7,3,2021/8/26,598
GP,28479d27a7,2,2021/7/6,598
GP,28479d27a7,1,2021/3/10,598
GP,28479d27a7,2,2021/7/17,598
GP,28479d27a7,1,2021/5/3,598
GP,28479d27a7,3,2021/5/1,598
GP,13533feb65,4,2021/7/12,598
GP,13533feb65,2,2021/8/22,598
GP,13533feb65,2,2021/6/8,598
GP,13533feb65,4,2021/3/6,598
GP,13533feb65,1,2021/5/25,598
GP,13533feb65,3,2021/6/6,598
GP,13533feb65,2,2021/9/20,598
GP,13533feb65,3,2021/6/18,598
GP,13533feb65,1,2021/3/11,598
GP,13533feb65,4,2021/8/28,598
GP,4d885e52be,2,2021/5/20,598
GP,4d885e52be,3,2021/3/7,598
GP,4d885e52be,2,2021/8/25,598
GP,4d885e52be,1,2021/2/23,598
GP,4d885e52be,4,2021/5/16,598
GP,4d885e52be,2,2021/3/7,598
GP,4d885e52be,1,2021/9/28,598
GP,4d885e52be,1,2021/3/2,598
GP,7075124bd2,4,2021/8/24,598
GP,7075124bd2,3,2021/8/7,598
GP,7075124bd2,1,2021/8/30,598
GP,7075124bd2,4,2021/3/6,598
GP,7075124bd2,1,2021/9/21,598
GP,7075124bd2,2,2021/7/26,598
GP,7075124bd2,1,2021/8/7,598
GP,7075124bd2,1,2021/8/25,598
GP,7075124bd2,3,2021/8/24,598
GP,7075124bd2,3,2021/5/27,598
GP,28479d435c,1,2021/3/18,598
GP,28479d435c,2,2021/8/27,598
GP,28479d435c,3,2021/9/27,598
GP,28479d435c,2,2021/9/12,598
GP,28479d435c,2,2021/2/27,598
GP,28479d435c,1,2021/8/30,598
GP,28479d435c,4,2021/3/3,598
GP,28479d435c,4,2021/9/25,598
GP,28479d435c,1,2021/7/16,598
GP,28479d435c,4,2021/8/29,598
GP,8c65a41d74,1,2021/7/18,598
GP,8c65a41d74,1,2021/7/9,598
GP,8c65a41d74,4,2021/6/14,598
GP,8c65a41d74,1,2021/5/24,598
GP,8c65a41d74,3,2021/5/1,598
GP,8c65a41d74,3,2021/2/3,598
GP,8c65a41d74,1,2021/9/24,598
GP,8c65a41d74,3,2021/8/11,598
GP,8c65a41d74,4,2021/7/7,598
GP,2cefb3f67a,3,2021/8/6,598
GP,2cefb3f67a,2,2021/2/10,598
GP,2cefb3f67a,4,2021/9/17,598
GP,2cefb3f67a,4,2021/9/15,598
GP,2cefb3f67a,4,2021/7/21,598
GP,2cefb3f67a,3,2021/6/7,598
GP,2cefb3f67a,1,2021/8/5,598
GP,2cefb3f67a,1,2021/9/17,598
GP,33ebd9d0ce,1,2021/8/28,598
GP,33ebd9d0ce,4,2021/3/30,598
GP,33ebd9d0ce,3,2021/8/9,598
GP,33ebd9d0ce,3,2021/4/19,598
GP,33ebd9d0ce,1,2021/8/9,598
GP,33ebd9d0ce,2,2021/2/18,598
GP,33ebd9d0ce,4,2021/5/20,598
GP,33ebd9d0ce,1,2021/4/21,598
GP,5b80a5c77c,1,2021/6/6,598
GP,5b80a5c77c,1,2021/8/7,598
GP,5b80a5c77c,4,2021/3/15,598
GP,5b80a5c77c,1,2021/6/18,598
GP,5b80a5c77c,2,2021/6/9,598
GP,5b80a5c77c,3,2021/4/26,598
GP,5b80a5c77c,4,2021/6/22,598
GP,5b80a5c77c,2,2021/1/27,598
GP,5b80a5c77c,1,2021/5/17,598
GP,5dd4c25a3c,1,2021/8/9,598
GP,5dd4c25a3c,1,2021/2/1,598
GP,5dd4c25a3c,4,2021/4/19,598
GP,5dd4c25a3c,3,2021/2/9,598
GP,5dd4c25a3c,4,2021/9/9,598
GP,5dd4c25a3c,1,2021/1/20,598
GP,5dd4c25a3c,1,2021/2/18,598
GP,5dd4c25a3c,2,2021/8/19,598
GP,3d3c089f9c,1,2021/7/30,598
GP,3d3c089f9c,1,2021/6/16,598
GP,3d3c089f9c,4,2021/9/15,598
GP,3d3c089f9c,4,2021/2/5,598
GP,3d3c089f9c,4,2021/2/10,598
GP,3d3c089f9c,1,2021/8/16,598
GP,3d3c089f9c,3,2021/8/30,598
GP,3d3c089f9c,3,2021/6/23,598
GP,3d3c089f9c,4,2021/7/30,598
GP,3d3c089f9c,1,2021/2/5,598
GP,1ef76cd749,2,2021/7/30,598
GP,1ef76cd749,2,2021/8/7,598
GP,1ef76cd749,3,2021/3/25,598
GP,1ef76cd749,4,2021/8/19,598
GP,1ef76cd749,2,2021/5/25,598
GP,1ef76cd749,2,2021/6/16,598
GP,1ef76cd749,1,2021/5/25,598
GP,1ef76cd749,4,2021/8/9,598
GP,1ef76cd749,1,2021/4/26,598
GP,214b79d1d7,4,2021/4/25,598
GP,214b79d1d7,2,2021/7/19,598
GP,214b79d1d7,1,2021/8/6,598
GP,214b79d1d7,2,2021/5/24,598
GP,214b79d1d7,1,2021/6/7,598
GP,214b79d1d7,4,2021/7/13,598
GP,214b79d1d7,1,2021/7/2,598
GP,214b79d1d7,2,2021/7/19,598
GP,214b79d1d7,2,2021/4/23,598
GP,214b79d1d7,4,2021/7/2,598
GP,4b3460f9be,1,2021/6/28,598
GP,4b3460f9be,2,2021/6/7,598
GP,4b3460f9be,1,2021/7/19,598
GP,4b3460f9be,2,2021/4/25,598
GP,4b3460f9be,4,2021/7/1,598
GP,4b3460f9be,2,2021/7/21,598
GP,4b3460f9be,3,2021/4/26,598
GP,4b3460f9be,4,2021/5/19,598
GP,4b3460f9be,4,2021/7/6,598
GP,4b3460f9be,1,2021/7/6,598
GP,1ef76dfe35,1,2021/5/24,598
GP,1ef76dfe35,1,2021/7/26,598
GP,1ef76dfe35,2,2021/5/19,598
GP,1ef76dfe35,1,2021/7/19,598
GP,1ef76dfe35,3,2021/6/15,598
GP,1ef76dfe35,1,2021/6/28,598
GP,1ef76dfe35,1,2021/8/6,598
GP,1ef76dfe35,3,2021/5/31,598
GP,1ef76dfe35,1,2021/7/1,598
GP,10ff336543,3,2021/7/19,598
GP,10ff336543,2,2021/5/24,598
GP,10ff336543,4,2021/7/1,598
GP,10ff336543,1,2021/7/19,598
GP,10ff336543,2,2021/7/27,598
GP,10ff336543,4,2021/5/10,598
GP,10ff336543,1,2021/6/7,598
GP,10ff336543,1,2021/5/26,598
GP,10ff336543,4,2021/7/26,598
GP,10ff336543,4,2021/5/24,598
GP,d93b2ff71e,4,2021/7/29,598
GP,d93b2ff71e,2,2021/5/19,598
GP,d93b2ff71e,3,2021/6/28,598
GP,d93b2ff71e,3,2021/5/25,598
GP,d93b2ff71e,1,2021/5/25,598
GP,d93b2ff71e,2,2021/7/21,598
GP,d93b2ff71e,1,2021/7/20,598
GP,d93b2ff71e,4,2021/4/29,598
GP,d93b2ff71e,2,2021/5/24,598
GP,10ff24a1f5,2,2021/7/29,598
GP,10ff24a1f5,3,2021/6/8,598
GP,10ff24a1f5,4,2021/5/10,598
GP,10ff24a1f5,1,2021/6/28,598
GP,10ff24a1f5,1,2021/6/28,598
GP,10ff24a1f5,1,2021/7/29,598
GP,10ff24a1f5,2,2021/7/20,598
GP,10ff24a1f5,3,2021/6/15,598
GP,10ff24a1f5,4,2021/5/26,598
GP,c446c456e9,2,2021/7/26,598
GP,c446c456e9,1,2021/5/25,598
GP,c446c456e9,1,2021/7/12,598
GP,c446c456e9,1,2021/7/19,598
GP,c446c456e9,1,2021/5/31,598
GP,c446c456e9,1,2021/7/26,598
GP,c446c456e9,2,2021/7/29,598
GP,c446c456e9,4,2021/7/21,598
GP,c446c456e9,3,2021/7/1,598
GP,c446c456e9,2,2021/5/25,598
GP,85698e333b,1,2021/6/7,598
GP,85698e333b,1,2021/5/21,598
GP,85698e333b,1,2021/5/25,598
GP,85698e333b,2,2021/7/30,598
GP,85698e333b,3,2021/5/24,598
GP,85698e333b,4,2021/6/7,598
GP,85698e333b,2,2021/7/6,598
GP,85698e333b,1,2021/6/15,598
GP,85698e333b,2,2021/7/7,598
GP,85698e333b,1,2021/5/25,598
GP,c69ad04fa7,1,2021/7/29,598
GP,c69ad04fa7,1,2021/5/25,598
GP,c69ad04fa7,1,2021/7/26,598
GP,c69ad04fa7,3,2021/5/24,598
GP,c69ad04fa7,1,2021/5/21,598
GP,c69ad04fa7,2,2021/5/24,598
GP,c69ad04fa7,1,2021/5/31,598
GP,c69ad04fa7,4,2021/6/8,598
GP,c69ad04fa7,1,2021/5/25,598
GP,17fb49a2b9,1,2021/7/20,598
GP,17fb49a2b9,1,2021/5/25,598
GP,17fb49a2b9,2,2021/6/7,598
GP,17fb49a2b9,1,2021/7/29,598
GP,17fb49a2b9,2,2021/5/24,598
GP,17fb49a2b9,4,2021/6/7,598
GP,17fb49a2b9,3,2021/7/1,598
GP,17fb49a2b9,1,2021/5/31,598
GP,910dbbbd51,3,2021/7/13,598
GP,910dbbbd51,1,2021/5/25,598
GP,910dbbbd51,1,2021/7/29,598
GP,910dbbbd51,4,2021/7/12,598
GP,910dbbbd51,3,2021/5/22,598
GP,910dbbbd51,4,2021/7/7,598
GP,910dbbbd51,2,2021/8/6,598
GP,910dbbbd51,1,2021/7/20,598
GP,910dbbbd51,1,2021/6/7,598
GP,e28b60ff76,1,2021/7/20,598
GP,e28b60ff76,1,2021/7/21,598
GP,e28b60ff76,1,2021/4/26,598
GP,e28b60ff76,4,2021/7/1,598
GP,e28b60ff76,4,2021/7/26,598
GP,e28b60ff76,1,2021/6/8,598
GP,e28b60ff76,1,2021/7/29,598
GP,e28b60ff76,4,2021/7/1,598
GP,9f060317e0,4,2021/8/5,598
GP,9f060317e0,1,2021/5/11,598
GP,9f060317e0,1,2021/6/15,598
GP,9f060317e0,2,2021/5/24,598
GP,9f060317e0,1,2021/5/21,598
GP,9f060317e0,2,2021/5/24,598
GP,9f060317e0,1,2021/7/12,598
GP,9f060317e0,2,2021/7/30,598
GP,9f060317e0,4,2021/5/10,598
GP,9f060317e0,4,2021/7/13,598
GP,3197cd4e2c,1,2021/7/19,598
GP,3197cd4e2c,4,2021/7/1,598
GP,3197cd4e2c,3,2021/6/7,598
GP,3197cd4e2c,1,2021/7/13,598
GP,3197cd4e2c,2,2021/7/26,598
GP,3197cd4e2c,1,2021/5/25,598
GP,3197cd4e2c,4,2021/7/29,598
GP,3197cd4e2c,2,2021/7/9,598
GP,3197cd4e2c,1,2021/5/24,598
GP,85698e164f,1,2021/5/31,598
GP,85698e164f,1,2021/5/24,598
GP,85698e164f,1,2021/7/6,598
GP,85698e164f,1,2021/5/24,598
GP,85698e164f,4,2021/5/10,598
GP,85698e164f,4,2021/5/24,598
GP,85698e164f,2,2021/7/20,598
GP,85698e164f,2,2021/7/19,598
GP,910dca4984,3,2021/5/26,598
GP,910dca4984,1,2021/7/1,598
GP,910dca4984,2,2021/7/29,598
GP,910dca4984,2,2021/7/27,598
GP,910dca4984,4,2021/5/10,598
GP,910dca4984,1,2021/5/24,598
GP,910dca4984,2,2021/5/26,598
GP,910dca4984,3,2021/7/28,598
GP,910dca4984,1,2021/7/6,598
GP,8a1196c39e,1,2021/5/25,598
GP,8a1196c39e,1,2021/5/19,598
GP,8a1196c39e,4,2021/5/24,598
GP,8a1196c39e,1,2021/7/27,598
GP,8a1196c39e,4,2021/7/1,598
GP,8a1196c39e,4,2021/5/24,598
GP,8a1196c39e,3,2021/7/1,598
GP,8a1196c39e,2,2021/7/9,598
GP,8a1196c39e,1,2021/5/27,598
GP,8a1196c39e,2,2021/7/21,598
GP,239f8456ba,1,2021/5/10,598
GP,239f8456ba,3,2021/5/18,598
GP,239f8456ba,3,2021/6/28,598
GP,239f8456ba,1,2021/5/3,598
GP,239f8456ba,1,2021/5/31,598
GP,239f8456ba,2,2021/4/29,598
GP,239f8456ba,4,2021/6/8,598
GP,239f8456ba,2,2021/6/8,598
GP,239f8456ba,2,2021/4/26,598
GP,239f8456ba,2,2021/6/7,598
GP,5484918000,4,2021/6/8,598
GP,5484918000,3,2021/5/24,598
GP,5484918000,1,2021/3/2,598
GP,5484918000,1,2021/6/7,598
GP,5484918000,2,2021/4/14,598
GP,5484918000,1,2021/4/21,598
GP,5484918000,2,2021/4/22,598
GP,5484918000,4,2021/9/9,598
GP,5484918000,4,2021/9/9,598
GP,5484918000,2,2021/2/26,598
GP,17fb4965c4,3,2021/5/14,598
GP,17fb4965c4,1,2021/5/23,598
GP,17fb4965c4,4,2021/2/17,598
GP,17fb4965c4,3,2021/2/4,598
GP,17fb4965c4,1,2021/1/27,598
GP,17fb4965c4,1,2021/5/6,598
GP,17fb4965c4,4,2021/2/22,598
GP,17fb4965c4,1,2021/1/27,598
GP,17fb4965c4,4,2021/7/7,598
GP,6028cd6d46,1,2021/1/23,598
GP,6028cd6d46,4,2021/5/22,598
GP,6028cd6d46,3,2021/5/18,598
GP,6028cd6d46,2,2021/2/19,598
GP,6028cd6d46,1,2021/3/14,598
GP,6028cd6d46,2,2021/1/31,598
GP,6028cd6d46,2,2021/4/9,598
GP,6028cd6d46,3,2021/1/3,598
GP,6028cd6d46,4,2021/6/30,598
GP,6028cd6d46,2,2021/1/27,598
GP,1ca361ea85,3,2021/1/9,598
GP,1ca361ea85,2,2021/1/14,598
GP,1ca361ea85,1,2021/1/15,598
GP,1ca361ea85,1,2021/7/1,598
GP,1ca361ea85,2,2021/2/10,598
GP,1ca361ea85,1,2021/9/7,598
GP,1ca361ea85,1,2021/2/23,598
GP,1ca361ea85,4,2021/4/14,598
GP,6724e1ed0d,2,2021/1/23,598
GP,6724e1ed0d,1,2021/2/16,598
GP,6724e1ed0d,3,2021/2/15,598
GP,6724e1ed0d,4,2021/2/16,598
GP,6724e1ed0d,4,2021/1/15,598
GP,6724e1ed0d,1,2021/2/6,598
GP,6724e1ed0d,1,2021/4/10,598
GP,6724e1ed0d,1,2021/1/1,598
GP,23f8ecd6f7,4,2021/1/31,598
GP,23f8ecd6f7,3,2021/5/3,598
GP,23f8ecd6f7,2,2021/2/2,598
GP,23f8ecd6f7,2,2021/2/19,598
GP,23f8ecd6f7,4,2021/4/26,598
GP,23f8ecd6f7,3,2021/5/2,598
GP,23f8ecd6f7,2,2021/7/1,598
GP,23f8ecd6f7,1,2021/2/9,598
GP,23f8ecd6f7,3,2021/4/4,598
GP,23f8ecd6f7,4,2021/5/31,598
GP,8a11969e82,1,2021/7/6,598
GP,8a11969e82,1,2021/7/15,598
GP,8a11969e82,1,2021/7/15,598
GP,8a11969e82,4,2021/7/6,598
GP,8a11969e82,1,2021/7/6,598
GP,8a11969e82,4,2021/7/5,598
GP,8a11969e82,1,2021/7/15,598
GP,8a11969e82,2,2021/3/10,598
GP,8a11969e82,4,2021/7/14,598
GP,8a11969e82,1,2021/7/14,598
GP,468c4a48f6,2,2021/7/26,598
GP,468c4a48f6,1,2021/7/15,598
GP,468c4a48f6,1,2021/6/22,598
GP,468c4a48f6,1,2021/7/14,598
GP,468c4a48f6,2,2021/7/14,598
GP,468c4a48f6,4,2021/7/14,598
GP,468c4a48f6,4,2021/6/21,598
GP,468c4a48f6,4,2021/6/28,598
GP,239f855c0a,2,2021/7/14,598
GP,239f855c0a,1,2021/7/5,598
GP,239f855c0a,3,2021/7/14,598
GP,239f855c0a,1,2021/7/14,598
GP,239f855c0a,2,2021/7/5,598
GP,239f855c0a,1,2021/6/28,598
GP,239f855c0a,1,2021/7/3,598
GP,239f855c0a,4,2021/7/15,598
GP,239f855c0a,3,2021/6/22,598
GP,239f855c0a,1,2021/7/15,598
GP,2f43c1eef6,1,2021/7/15,598
GP,2f43c1eef6,1,2021/7/26,598
GP,2f43c1eef6,1,2021/7/14,598
GP,2f43c1eef6,1,2021/6/28,598
GP,2f43c1eef6,1,2021/7/15,598
GP,2f43c1eef6,2,2021/6/28,598
GP,2f43c1eef6,2,2021/6/19,598
GP,2f43c1eef6,1,2021/7/15,598
GP,2f43c1eef6,2,2021/7/5,598
GP,d6e7242576,2,2021/7/26,598
GP,d6e7242576,1,2021/7/15,598
GP,d6e7242576,4,2021/7/15,598
GP,d6e7242576,1,2021/7/5,598
GP,d6e7242576,3,2021/7/15,598
GP,d6e7242576,1,2021/7/14,598
GP,d6e7242576,1,2021/7/14,598
GP,d6e7242576,3,2021/6/21,598
GP,d6e7242576,3,2021/7/6,598
GP,d6e7242576,4,2021/7/5,598
GP,d6e7242576,4,2021/7/5,598
GP,d6e7242576,4,2021/7/14,598
GP,c4827d45bc,1,2021/7/6,598
GP,c4827d45bc,3,2021/7/15,598
GP,c4827d45bc,1,2021/7/15,598
GP,c4827d45bc,2,2021/6/21,598
