个人信息,校园卡编号,消费金额,存储金额,余额,消费次数,消费类型,消费地点,消费时间
180571-女,2018571,5,0,48,674,消费,第四食堂,2019-04-22 11_10
180384-女,2018384,2.5,0,103.6,792,消费,第一食堂,2019-04-04 07_8
181462-男,20181462,1,0,37,1068,消费,第二食堂,2019-04-08 12_9
182000-男,20182000,4,0,34.1,604,消费,第二食堂,2019-04-16 18_2
183543-女,20183543,1.2,0,0.6,478,消费,第二食堂,2019-04-04 07_10
180631-男,2018631,6.5,0,68.8,741,消费,第一食堂,2019-04-05 17_12
181866-女,20181866,1.2,0,51.4,455,消费,第二食堂,2019-04-30 09_2
182992-男,20182992,3,0,11,571,消费,第五食堂,2019-04-16 17_10
183323-女,20183323,0.6,0,0.8,983,消费,第一食堂,2019-04-03 08_9
181516-男,20181516,3.6,0,70.2,938,消费,第二食堂,2019-04-12 07_10
180095-女,201895,0,100,169.7,755,存款,财务处,2019-04-01 12_6
183987-男,20183987,2,0,20,670,消费,第二食堂,2019-04-09 09_9
182420-女,20182420,3.1,0,24.5,415,消费,第五食堂,2019-04-15 09_8
181718-女,20181718,0.5,0,26.94,511,消费,第一食堂,2019-04-03 12_10
183337-男,20183337,6.5,0,49.9,250,消费,好利来食品店,2019-04-27 10_1
181792-男,20181792,1,0,5.5,644,消费,第二食堂,2019-04-19 09_9
183536-男,20183536,7,0,99.2,201,消费,第四食堂,2019-04-07 19_5
181641-男,20181641,7,0,53.1,464,消费,第四食堂,2019-04-02 11_9
181447-男,20181447,0.6,0,41.6,689,消费,第一食堂,2019-04-14 12_6
181715-女,20181715,8,0,124.5,887,消费,第四食堂,2019-04-26 11_6
183725-女,20183725,2.5,0,36.2,519,消费,第五食堂,2019-04-23 18_1
180536-男,2018536,2,0,17.1,629,消费,第二食堂,2019-04-08 21_4
183720-女,20183720,3,0,13.1,508,消费,第五食堂,2019-04-19 11_10
184277-男,20184277,2.5,0,83.51,780,消费,第二食堂,2019-04-01 12_4
182000-男,20182000,4,0,47.8,599,消费,第一食堂,2019-04-16 12_7
182165-女,20182165,1.5,0,91.7,382,消费,第五食堂,2019-04-08 17_5
184073-男,20184073,4.5,0,10.9,856,消费,第一食堂,2019-04-02 17_7
180213-男,2018213,3,0,55.7,444,消费,第二食堂,2019-04-08 16_7
180545-女,2018545,0.6,0,70.7,776,消费,第二食堂,2019-04-17 02_9
182336-女,20182336,5,0,51.8,597,消费,第二食堂,2019-04-24 17_11
182213-女,20182213,0.5,0,98.3,885,消费,第五食堂,2019-04-14 11_7
184100-男,20184100,3,0,108.1,792,消费,第二食堂,2019-04-25 09_9
180149-女,2018149,0.8,0,197.46,796,消费,第一图书馆,2019-04-08 17_7
181524-男,20181524,2.4,0,73.5,492,消费,第二食堂,2019-04-04 07_11
182403-女,20182403,5,0,145.2,736,消费,第三食堂,2019-04-26 12_0
182604-男,20182604,0.6,0,2.82,1098,消费,第二食堂,2019-04-19 12_1
183481-女,20183481,1.5,0,92.4,470,消费,第二食堂,2019-04-23 07_7
180435-男,2018435,8,0,89,468,消费,第四食堂,2019-04-25 12_10
182728-男,20182728,6,0,21.8,790,消费,第五食堂,2019-04-08 12_2
183969-男,20183969,0,100,104.4,407,存款,财务处,2019-04-03 12_3
183815-男,20183815,0.6,0,6.8,345,消费,第五食堂,2019-04-09 07_11
180688-女,2018688,2,0,199.2,675,消费,第二食堂,2019-04-15 11_12
184258-男,20184258,3.5,0,97.8,309,消费,第五食堂,2019-04-09 12_5
183183-女,20183183,6,0,34.5,213,消费,第一食堂,2019-04-01 16_7
182370-女,20182370,1,0,29.9,811,消费,第五食堂,2019-04-25 07_7
183446-男,20183446,2,0,36.2,703,消费,第二食堂,2019-04-09 11_1
182492-女,20182492,5.6,0,140.88,607,消费,第五食堂,2019-04-16 16_7
181434-男,20181434,0.7,0,21.9,813,消费,第二食堂,2019-04-21 17_4
181856-女,20181856,3,0,39.8,691,消费,第二食堂,2019-04-22 00_0
183510-男,20183510,0.6,0,25.1,410,消费,第二食堂,2019-04-17 07_3
180921-男,2018921,0.6,0,80.23,579,消费,第二食堂,2019-04-18 17_6
181532-男,20181532,3.5,0,241.8,876,消费,第二食堂,2019-04-25 18_3
181396-男,20181396,0.6,0,57.9,797,消费,第二食堂,2019-04-22 12_9
180691-女,2018691,0.4,0,77.76,1038,消费,第一食堂,2019-04-24 16_5
181648-男,20181648,7,0,10.7,480,消费,第四食堂,2019-04-18 11_4
183827-男,20183827,4,0,91.4,766,消费,第二食堂,2019-04-25 11_11
183646-女,20183646,3,0,98.6,396,消费,第五食堂,2019-04-11 17_2
184062-女,20184062,2.3,0,89.4,396,消费,第二食堂,2019-04-15 07_5
182172-女,20182172,0.6,0,23.55,481,消费,第二食堂,2019-04-10 09_9
