ID,code,investment,capital,stock,income,assets_1,assets_2,expenditure_1,expenditure_2,expenditure_3,tax,debt,loan,grade,Label
36,41,0.193519,0,0.742310846,0.850821387,0.251149538,0.771948704,0.607977793,0.767707444,0.638948943,0.789435355,0.757033652,0.505678622,B,0
37,0,0.193519,,0.742310846,0.850821387,,,0.607977793,0.767707444,0.63888098,0.789331564,,,B,0
38,16,0.193519,0.000298541,0.742310846,0.850821387,,,0.607977793,0.767707444,0.6388794,0.789271322,,,B,0
39,39,0.193519281,0,0.742310846,0.850821387,,,0.607977793,0.767707444,0.639086679,0.789458049,,,D,0
40,2,0.193519,1.49E-05,0.761761121,0.85557888,0.456992187,0.780835769,0.609090858,0.76575526,0.639058964,0.789611012,0.75951555,0.582076454,B,0
41,0,0.193519,0.027006385,0.761761121,0.85557888,,,0.609090858,0.76575526,,,,,A,1
42,0,0.193519,,0.761761121,0.85557888,,,0.609090858,0.76575526,0.638907251,0.78928866,,,C,0
43,0,0.193519,0.000447546,0.761761121,0.85557888,,,0.609090858,0.76575526,0.639094401,0.78940638,,,A,0
44,0,0.193519281,0.000596374,0.740947802,0.84885052,0.2319775,0.764283093,0.609090858,0.760239934,0.638976458,0.78933538,0.748407349,0.463800749,B,0
45,2,0.193519,1.49E-05,0.737505674,0.848647342,0.22058368,0.762665506,0.609090858,0.760358564,0.638947577,0.789335381,0.747841551,,B,0
46,2,0.193519,1.49E-05,0.737505674,0.848647342,,,0.609090858,0.760358564,0.638903996,0.789285012,,,B,0
47,0,0.193519,0.000893503,0.740885237,0.848648123,0.24596435,0.763910095,0.607222667,0.7605825,0.638926006,0.789335332,0.748059511,,B,0
48,2,0.230052151,1.49E-05,0.744948853,0.848962247,0.499229362,0.769891746,0.619115991,0.764845582,0.639086517,0.78928875,0.754097271,0.495056359,D,0
49,0,0.193519,0.000298541,0.744948853,0.848962247,,,0.619115991,0.764845582,,,,,C,0
50,0,0.193519,0.002953958,0.740244293,0.849033722,0.506167586,0.766531869,0.6084092,0.76533046,0.63907613,0.789615353,0.752852287,,B,0
51,0,0.193519,0.002953958,0.740244293,0.849033722,,,0.6084092,0.76533046,,,,,A,1
52,6,0.271768504,8.96E-05,0.732419435,0.847953519,0.59257692,0.777629901,0.666355919,0.783037681,0.63893609,0.792185824,0.771654305,0.44302585,C,0
53,23,0.193519,0.016763867,0.732419435,0.847953519,,,0.666355919,0.783037681,0.638945248,0.789320139,,,F,0
54,80,0.193519,0.001816054,0.732419435,0.847953519,,,0.666355919,0.783037681,0.639928693,0.789302644,,,B,0
55,0,0.193519,2.99E-05,0.732419435,0.847953519,,,0.666355919,0.783037681,0.639054445,0.789383993,,,G,0
56,0,0.193519,0.000149359,0.732419435,0.847953519,,,0.666355919,0.783037681,0.638921208,0.789327581,,,C,0
57,0,0.22510301,0.000298541,0.740948699,0.850580317,0.288786098,0.767700527,0.666355919,0.76361741,0.638878781,0.789537344,0.751069349,,E,0
58,16,0.193519281,0.026813372,0.740948699,0.850580317,,,0.666355919,0.76361741,0.638943136,0.789309391,,,C,0
59,0,0.193519,0.027006385,0.740948699,0.850580317,,,0.666355919,0.76361741,0.638973771,0.789331455,,,D,0
60,2,0.193519,1.49E-05,0.738102266,0.848467656,0.243837023,0.762737109,0.608496573,0.759915022,0.638900903,0.789323505,0.74774817,,A,0
61,0,0.193519,,0.738102266,0.848467656,,,0.608496573,0.759915022,,0.789392435,,,C,0
62,0,0.193519,0.001485661,0.738102266,0.848467656,,,0.608496573,0.759915022,0.639249953,0.78958722,,,D,0
63,16,0.193519,2.99E-05,0.739172714,0.848914131,0.243142813,0.763219777,0.606832189,0.759915022,0.638880239,0.789372102,0.747411535,,A,0
64,50,0.193519,0.000596374,0.739172714,0.848914131,,,0.606832189,0.759915022,0.638861435,0.789296762,,,B,0
65,0,0.193519,0.008661336,0.747737113,0.849679373,0.250998116,0.766245906,0.60705155,0.76019121,0.638917853,0.789298041,0.74810038,0.452139578,D,0
66,0,0.193519281,2.99E-05,0.747737113,0.849679373,,,0.60705155,0.76019121,0.638958675,0.789319225,,,B,0
67,33,0.197417426,5.98E-05,0.744835102,0.84903524,0.437272736,0.768056299,0.614785082,0.763861376,0.639468834,0.789762013,0.751501171,,B,0
68,0,0.193519,0.027006385,0.744835102,0.84903524,,,0.614785082,0.763861376,,,,,A,0
69,0,0.193519,,0.744835102,0.84903524,,,0.614785082,0.763861376,0.639126504,0.789450936,,,B,0
70,35,0.193519,0.000596374,0.747859911,0.848941459,0.435755177,0.77844778,0.614785082,0.759941316,0.638929844,0.789309204,0.765152721,0.656920614,A,0
71,2,0.435618463,1.49E-05,0.755063656,0.848603944,0.532139518,0.771056263,0.607107457,0.763930315,0.639126295,0.790903658,0.75217423,,B,0
72,3,0.558583048,0.001485661,0.75702144,0.852570657,0.478700898,0.802142609,0.607107457,0.789727022,0.639072206,0.789375534,0.786626711,0.640914179,B,0
73,0,0.193519,0.000405842,0.75702144,0.852570657,,,0.607107457,0.789727022,0.638930749,0.789329796,,,A,0
74,6,0.333074762,9.47E-05,0.743540771,0.848784438,,0.764710784,0.60763151,0.76140645,0.638978471,0.789336315,0.748861649,,B,0
75,0,0.193519,0.027006385,0.746884332,0.849580347,0.520157071,0.769546646,0.607160871,0.764155588,0.638894807,0.78928829,0.754175596,0.524906215,A,0
76,0,0.193519,0.000298541,0.740228429,0.848231389,0.361785194,0.778922484,0.607160871,0.770264782,0.639113324,0.790446045,0.764848049,0.585718271,D,0
77,2,0.193519,1.49E-05,0.740387292,0.85060093,0.241017729,0.767842065,0.607160871,0.764705933,0.638912937,0.789511524,0.752158846,,C,0
78,0,0.193519,,0.740387292,0.85060093,,,0.607160871,0.764705933,0.639168565,0.789455754,,,D,0
79,20,0.36932926,0.004405294,0.740387292,0.85060093,,,0.607160871,0.764705933,0.639101246,0.789454113,,,E,0
80,0,0.193519,0.015461744,0.738560278,0.848462885,,0.762683511,0.607160871,0.764705933,0.638916662,0.789389611,0.747451811,,A,0
81,2,0.193519,1.49E-05,0.738560278,0.848462885,,,0.607160871,0.764705933,,,,,C,0
82,0,0.193519281,0.002953958,0.737171945,0.848401346,,0.762166969,0.607160871,0.764705933,0.639118012,0.78943615,0.747473257,,E,0
83,16,0.193519281,0.000596374,0.738032625,0.848999431,0.275170154,0.764872292,0.607160871,0.76239869,0.638978232,0.789375102,0.749822842,,D,0
84,16,0.193519281,0.001485661,0.738032625,0.848999431,,,0.607160871,0.76239869,,0.789256281,,,D,0
85,64,0.193519,0.002953958,0.738032625,0.848999431,,,0.607160871,0.76239869,0.638966064,0.789332375,,,B,0
86,0,0.193519,0.001485661,0.738032625,0.848999431,,,0.607160871,0.76239869,0.63886604,0.78928627,,,B,0
87,2,0.193519,1.49E-05,0.737999979,0.848721795,0.45945083,0.765140323,0.607160871,0.761905957,0.639189932,0.789485635,0.751222177,0.504763492,A,0
88,0,0.193519,0.027006385,0.737999979,0.848721795,,,0.607160871,0.761905957,0.639109918,0.78942976,,,B,0
89,24,0.407940744,0,0.74982363,0.848445734,0.418507104,0.765256185,0.60787463,0.759983825,0.639129878,0.789317388,0.747512729,,C,0
90,0,0.193519,0.001633265,0.738581857,0.848549163,0.221134967,0.763370998,0.60787463,0.7607115,0.63894137,0.789328812,0.74817669,,C,0
91,16,0.193519281,0.000298541,0.738581857,0.848549163,,,0.60787463,0.7607115,,0.789256276,,,A,1
92,0,0.193519,0.027006385,0.737890706,0.848560116,0.272600053,0.76241705,0.606903162,0.759897001,0.6389816,0.789305215,0.747382966,,B,0
93,8,0.193519,0,0.737890706,0.848560116,,,0.606903162,0.759897001,0.638894911,0.789408224,,,B,0
94,16,0.193519,0.001485661,0.737890706,0.848560116,,,0.606903162,0.759897001,,,,,B,1
95,2,0.193519,1.49E-05,0.743586819,0.853023567,0.517395103,0.779322511,0.608073263,0.778164957,0.639121376,0.789446203,0.765651732,0.460775437,B,0
96,0,0.193519,0.008661336,0.743586819,0.853023567,,,0.608073263,0.778164957,0.638937021,0.789307287,,,C,0
97,16,0.193519281,0.001485661,0.737313081,0.848435459,,0.762163093,0.608073263,0.759900887,0.638948979,0.789312472,0.7473709,,C,0
98,5,0.194904338,2.09E-05,0.739652611,0.84894126,0.3063984,0.763219089,0.607898657,0.760006282,0.639043159,0.789289231,0.747527712,,D,0
99,0,0.193519,0.00469356,0.743423283,0.849150779,0.252099252,0.76498534,0.607898657,0.760686641,0.639055294,0.789431984,0.748164201,,C,0
100,0,0.193519,0.001780696,0.743423283,0.849150779,,,0.607898657,0.760686641,0.638894818,0.789320849,,,B,0
101,0,0.101213924,0.014120663,0.739809852,0.849292057,0.333319832,0.765746117,0.607898657,0.761374232,0.6391218,0.789579472,0.75028382,,B,0
102,2,0.193519,1.49E-05,0.739809852,0.849292057,,,0.607898657,0.761374232,0.638916378,0.789322568,,,B,0
103,62,0.193519,4.93E-05,0.737138864,0.848393357,0.351868364,0.762610846,0.606722543,0.760922948,0.639000226,0.789343137,0.748475279,,B,0
104,0,0.193519,0.002953958,0.741201326,0.848674545,0.385403919,0.763313513,0.606722543,0.759959047,0.638902219,0.789320183,0.747471486,,C,0
105,0,0.193519,,0.741201326,0.848674545,,,0.606722543,0.759959047,0.638953515,0.789319968,,,A,0
106,4,0.295627978,0.002953958,0.741201326,0.848674545,,,0.606722543,0.759959047,,0.789256528,,,C,0
107,16,0.447816963,0.000298541,0.751100361,0.85057523,0.226404262,0.772701498,0.614145151,0.763724282,0.641088457,0.791492399,0.755292736,,B,0
108,50,0.193519,8.96E-05,0.751100361,0.85057523,,,0.614145151,0.763724282,0.639107482,0.789425724,,,C,0
109,15,0.193519,0,0.737649036,0.861606079,0.37830131,0.805683336,0.606815684,0.77652864,,0.791211206,0.79487725,,C,0
110,0,0.193519,5.98E-05,0.737649036,0.861606079,,,0.606815684,0.77652864,,,,,C,0
111,0,0.193519,0.003187302,0.737649036,0.861606079,,,0.606815684,0.77652864,0.639042505,0.789401709,,,B,0
112,0,0.193519,0.00142657,0.737649036,0.861606079,,,0.606815684,0.77652864,0.638926695,0.789303032,,,B,0
113,0,0.193519,0.000893503,0.737649036,0.861606079,,,0.606815684,0.77652864,0.63890904,0.789301446,,,A,0
114,2,0.193519,1.49E-05,0.740337784,0.849648484,0.222008835,0.766122971,0.606815684,0.762166547,0.638920257,0.789310618,0.75082418,0.485657998,B,0
115,16,0.193519,2.99E-05,0.740337784,0.849648484,,,0.606815684,0.762166547,0.638877387,0.789312592,,,C,0
116,0,0.193519,0.000298541,0.737551237,0.848772683,0.254966151,0.763164485,0.606815684,0.760970953,0.639087352,0.789425874,0.748432407,,E,0
117,16,0.193519281,0.001485661,0.737551237,0.848772683,,,0.606815684,0.760970953,0.638974224,0.790384216,,,C,0
118,0,0.193519,0.001485661,0.737551237,0.848772683,,,0.606815684,0.760970953,0.639047914,0.78938221,,,A,0
119,0,0.193519281,0.001485661,0.737186641,0.848545046,,0.76283453,0.606815684,0.760719353,0.638941474,0.789313727,0.748176116,,B,0
120,2,0.193519,1.49E-05,0.737186641,0.848545046,,,0.606815684,0.760719353,0.638905085,0.789287448,,,B,0
121,0,0.193519281,0.000298541,0.737212212,0.848404349,0.224159435,0.762235494,0.606916197,0.760043576,0.638952441,0.789314697,0.74752062,,C,0
122,0,0.193519,0.000298541,0.737212212,0.848404349,,,0.606916197,0.760043576,,0.789294622,,,D,0
123,0,0.193519,0.000149359,0.737212212,0.848404349,,,0.606916197,0.760043576,0.638952682,0.789320158,,,C,0
124,2,0.193519,1.49E-05,0.737212212,0.848404349,,,0.606916197,0.760043576,0.639125542,0.789302959,,,C,0
125,79,0.193519281,0.000183573,0.736365942,0.848150555,,0.762157803,0.606916197,0.760708373,,0.789256272,0.748164289,,C,0
126,80,0.193519281,0.152973013,0.736365942,0.848150555,,,0.606916197,0.760708373,,0.789307718,,,C,0
127,16,0.193519281,0.000149359,0.736365942,0.848150555,,,0.606916197,0.760708373,0.638944969,0.789339616,,,C,0
128,2,0.193519,1.49E-05,0.736365942,0.848150555,,,0.606916197,0.760708373,,,,,B,0
129,0,0.193519,0.000149359,0.736365942,0.849444101,0.231425127,0.765492033,0.606916197,0.763640164,0.638914806,0.789293472,0.751010395,,D,0
130,0,0.193519,,0.736365942,0.849444101,,,0.606916197,0.763640164,0.638875596,0.789266485,,,D,0
131,19,0.193519,0,0.736365942,0.849444101,,,0.606916197,0.763640164,0.639008899,0.78938872,,,C,0
132,0,0.193519,0.027006385,0.736365942,0.849444101,,,0.606916197,0.763640164,,,,,A,1
133,0,0.193519,,0.736365942,0.849444101,,,0.606916197,0.763640164,0.638922371,0.789303561,,,D,0
134,0,0.193519,,0.736365942,0.849444101,,,0.606916197,0.763640164,0.638864642,0.789259139,,,A,0
135,0,0.193519,0.000149359,0.739095758,0.848104653,0.456200186,0.765694918,0.60694585,0.764528546,0.638951113,0.789239972,0.751995261,,A,0
136,2,0.193519,1.49E-05,0.739095758,0.848104653,,,0.60694585,0.764528546,0.638924007,0.789298636,,,B,0
137,0,0.193519,0.000596374,0.739095758,0.848104653,,,0.60694585,0.764528546,,,,,F,0
138,0,0.193519,0.000149359,0.739095758,0.848104653,,,0.60694585,0.764528546,0.638911997,0.789300432,,,B,0
139,35,0.193519,0.001780696,0.754325518,0.848686661,0.242382611,0.788967007,0.608517483,0.798256107,0.638881824,0.789483904,0.784711205,,B,0
140,0,0.193519,0.002075041,0.754325518,0.848686661,,,0.608517483,0.798256107,0.638865183,0.78925814,,,C,0
141,0,0.193519,0.027006385,0.754325518,0.848686661,,,0.608517483,0.798256107,0.638950477,0.789317103,,,D,0
142,0,0.193519,8.97E-06,0.754325518,0.848686661,,,0.608517483,0.798256107,0.639009822,0.789352324,,,B,0
143,0,0.193519,0.027006385,0.754325518,0.848686661,,,0.608517483,0.798256107,0.639240167,0.789346278,,,E,0
144,65,0.193519,0.002368697,0.754325518,0.848686661,,,0.608517483,0.798256107,0.638937611,0.789305798,,,C,0
145,0,0.193519,0.001485661,0.73788673,0.848573743,0.232747178,0.762759697,0.60678938,0.760343186,0.638985889,0.789349155,0.747820921,,B,0
146,0,0.193519,0.005840054,0.744298661,0.849048714,0.414303864,0.764945078,0.60678938,0.760316953,0.639039683,0.789398633,0.748429719,0.462084564,C,0
147,34,0.193519,0.001581623,0.744298661,0.849048714,,,0.60678938,0.760316953,0.638927507,0.789303719,,,A,0
148,2,0.193519,1.49E-05,0.744298661,0.849048714,,,0.60678938,0.760316953,0.638938057,0.789324945,,,C,0
149,2,0.696083079,1.49E-05,0.769288745,0.856188792,0.327732262,0.791605109,0.60678938,0.776787374,0.638941029,0.802604863,0.770537642,,B,0
150,2,0.193519,1.49E-05,0.769288745,0.856188792,,,0.60678938,0.776787374,0.63906956,0.789403089,,,A,0
151,0,0.193519,0.000447546,0.769288745,0.856188792,,,0.60678938,0.776787374,0.638898335,0.789325316,,,B,0
152,108,0.193519,0,0.769288745,0.856188792,,,0.60678938,0.776787374,0.63894154,0.78931075,,,B,0
153,0,0.193519,0.001485661,0.769288745,0.856188792,,,0.60678938,0.776787374,0.63916952,0.789453446,,,C,0
154,79,0.19930059,0.002953958,0.737743571,0.849567625,0.250921347,0.766756048,0.612021093,0.760210479,0.639020784,0.789451351,0.75214383,,A,0
155,43,0.193519,0,0.737743571,0.849567625,,,0.612021093,0.760210479,0.639019985,0.789359577,,,C,0
156,2,0.193519,1.49E-05,0.73942294,0.849315593,0.224071253,0.76448352,0.606777256,0.761749363,0.638929503,0.78930336,0.74917964,,B,0
157,44,0.193519281,0,0.739687971,0.848504838,0.368490969,0.764778669,0.608557414,0.761937516,0.639565608,0.789259039,0.749876292,0.4560113,B,0
158,13,0.193519,0.001833729,0.739687971,0.848504838,,,0.608557414,0.761937516,0.638960278,0.789294806,,,B,0
159,2,0.193519,1.49E-05,0.739687971,0.848504838,,,0.608557414,0.761937516,0.638878112,0.789285091,,,E,0
160,0,0.193519281,0.000536864,0.739687971,0.848504838,,,0.608557414,0.761937516,0.639312165,0.789499702,,,C,0
161,16,0.193519,0.005840054,0.737097268,0.848448829,0.281326815,0.764751608,0.608557414,0.761703319,0.638923278,0.789297043,0.750332119,0.429648185,B,0
162,2,0.193519,1.49E-05,0.745167065,0.849657855,0.292438512,0.767891381,0.60677969,0.762202208,0.638960736,0.789381361,0.750639781,0.477916593,B,0
163,0,0.193519,0.002953958,0.745167065,0.849657855,,,0.60677969,0.762202208,0.639178655,0.789464511,,,B,0
164,50,0.193519,0.002953958,0.745167065,0.849657855,,,0.60677969,0.762202208,0.639064521,0.789393242,,,B,0
165,2,0.193519,1.49E-05,0.745167065,0.849657855,,,0.60677969,0.762202208,0.638921571,0.789295402,,,D,0
166,0,0.193519,0.000893503,0.745167065,0.849657855,,,0.60677969,0.762202208,,0.789256271,,,G,1
167,0,0.193519,2.99E-05,0.745167065,0.849657855,,,0.60677969,0.762202208,0.638928644,0.789338019,,,A,0
168,2,0.193519,1.49E-05,0.745167065,0.849657855,,,0.60677969,0.762202208,0.639229889,0.789497109,,,B,0
169,65,0.193519,0.000893503,0.737213565,0.849970593,0.333513898,0.767139757,0.613774738,0.762995968,0.639115495,0.789462301,0.752935219,,B,0
170,3,0.193519,0.00017921,0.737213565,0.849970593,,,0.613774738,0.762995968,0.638918335,0.789299473,,,A,0
171,0,0.193519,0.000149359,0.737213565,0.849970593,,,0.613774738,0.762995968,0.63886081,0.789256393,,,A,1
172,16,0.193519281,0.000149359,0.737213565,0.849970593,,,0.613774738,0.762995968,0.639735586,0.789827051,,,C,0
173,0,0.193519,0.000596374,0.738054213,0.84857344,0.424720641,0.763195334,0.613774738,0.760915978,0.638980083,0.789347281,0.748754943,0.448757181,D,0
174,80,0.193519281,0.014120663,0.754416593,0.849547862,0.255009807,0.778751575,0.607184033,0.761075272,0.639342505,0.789657781,0.759612597,0.491207478,C,0
175,0,0.193519,0.000774736,0.738165865,0.848403101,0.296896578,0.762443285,0.607184033,0.761075272,0.638908208,0.789316458,0.747490165,,D,0
176,0,0.193519,,0.738165865,0.848403101,,,0.607184033,0.761075272,0.638919614,0.789325045,,,B,0
177,0,0.193519,0.027006385,0.738165865,0.848403101,,,0.607184033,0.761075272,,0.789256767,,,B,0
178,2,0.193519,1.49E-05,0.738165865,0.848403101,,,0.607184033,0.761075272,,0.78925637,,,A,0
179,0,0.193519,0.00298315,0.741376997,0.850015761,0.376272915,0.767417402,0.607184033,0.764406931,0.639085519,0.789453923,0.751781471,,C,0
180,18,0.193519,0,0.727655598,0.847530049,0.24607056,0.765747514,0.6426581,0.768735976,0.639036193,0.789458761,0.757036655,,C,0
181,51,0.193519,0.000149359,0.727655598,0.847530049,,,0.6426581,0.768735976,0.638990674,0.789341206,,,D,0
182,2,0.193519,1.49E-05,0.727655598,0.847530049,,,0.6426581,0.768735976,0.638886347,0.789276387,,,B,0
183,34,0.193519,0.002953958,0.727655598,0.847530049,,,0.6426581,0.768735976,0.638874728,0.789291287,,,D,0
184,92,0.228030008,0.000447546,0.742036103,0.848617314,0.384657125,0.764069775,0.611790494,0.760045673,0.638942808,0.789815261,0.747691837,,B,0
185,0,0.193519,0.027006385,0.764120403,0.847917775,0.324737428,0.80496018,0.611790494,0.767551159,0.63895405,0.78849926,0.787902717,0.690379932,B,0
186,80,0.193519,0.000741699,0.764120403,0.847917775,,,0.611790494,0.767551159,,0.789271883,,,B,0
187,2,0.193519,1.49E-05,0.764120403,0.847917775,,,0.611790494,0.767551159,0.639141029,0.789438423,,,B,0
188,0,0.193519,,0.764120403,0.847917775,,,0.611790494,0.767551159,0.638929948,0.789305343,,,A,0
189,0,0.193519,8.96E-05,0.738526268,0.848563969,0.400778468,0.763655691,0.607356958,0.760222739,0.638954741,0.789326322,0.749160443,0.491106288,C,0
190,51,0.193519,0.000447546,0.738526268,0.848563969,,,0.607356958,0.760222739,,0.789256273,,,A,0
191,0,0.193519,0.027006385,0.738526268,0.848563969,,,0.607356958,0.760222739,0.639116661,0.789438861,,,B,0
192,0,0.193519281,0.002953958,0.737721958,0.850204123,0.245790821,0.767104513,0.607260505,0.765018296,0.638911581,0.789341504,0.752400883,,D,0
193,0,0.193519,0.027006385,0.737721958,0.850204123,,,0.607260505,0.765018296,0.63899368,0.789343014,,,D,0
194,0,0.193519,,0.737721958,0.850204123,,,0.607260505,0.765018296,0.638996189,0.789343312,,,A,0
195,18,0.193519,0,0.737076065,0.848379212,0.222380392,0.762099277,0.607273331,0.759977519,0.638871195,0.789264984,0.747468687,,B,0
196,0,0.193519281,0.000596374,0.73724069,0.848417957,,0.762344728,0.607273331,0.760113296,0.638894124,0.789320226,0.747615435,,D,0
197,80,0.193519,0.006551337,0.73724069,0.848417957,,,0.607273331,0.760113296,0.639237442,0.789501895,,,C,0
198,64,0.193519,0.001485661,0.73724069,0.848417957,,,0.607273331,0.760113296,,,,,B,1
199,16,0.193519,0.002953958,0.73724069,0.848417957,,,0.607273331,0.760113296,0.63890329,0.789285618,,,C,0
200,0,0.193519,0.027006385,0.73724069,0.848417957,,,0.607273331,0.760113296,0.638887264,0.789282681,,,B,0
201,0,0.193519,2.99E-05,0.73724069,0.848417957,,,0.607273331,0.760113296,0.638957593,0.789326488,,,B,0
202,16,0.193519,0.001780696,0.73724069,0.848417957,,,0.607273331,0.760113296,,0.789318415,,,D,0
203,2,0.193519,1.49E-05,0.73724069,0.848417957,,,0.607273331,0.760113296,0.6389668,0.789326526,,,B,0
204,79,0.193519,0.008661336,0.73724069,0.848417957,,,0.607273331,0.760113296,0.639050064,0.789424264,,,E,0
205,0,0.193519,,0.73724069,0.848417957,,,0.607273331,0.760113296,0.638903071,0.789372073,,,B,0
206,0,0.193519,,0.73724069,0.848417957,,,0.607273331,0.760113296,,0.78926039,,,C,1
207,50,0.193519,0.005277315,0.73724069,0.848417957,,,0.607273331,0.760113296,0.639114327,0.78945287,,,B,0
208,0,0.193519,5.38E-05,0.73724069,0.848417957,,,0.607273331,0.760113296,0.638924188,0.789302513,,,C,0
209,2,0.193519,1.49E-05,0.737486708,0.848264654,0.257901438,0.7633191,0.610270718,0.761463381,0.639194401,0.789517604,0.749061713,,B,0
210,2,0.193519,1.49E-05,0.737486708,0.848264654,,,0.610270718,0.761463381,0.638932756,0.789307699,,,E,0
211,108,0.193519281,0,0.737582343,0.84874914,0.367144973,0.765191708,0.610270718,0.763280851,0.63903368,0.789369991,0.750787091,0.434400487,D,0
212,0,0.193519281,0.001485661,0.737582343,0.84874914,,,0.610270718,0.763280851,0.638861069,0.789256447,,,C,0
213,0,0.193519,0.001485661,0.737582343,0.84874914,,,0.610270718,0.763280851,,0.789306996,,,A,0
214,103,0.193519,0.000149359,0.737582343,0.84874914,,,0.610270718,0.763280851,,0.789257892,,,B,0
215,0,0.193519,0.000298541,0.739301533,0.848076516,,0.763251109,0.610270718,0.760938142,0.638946639,0.78936956,0.748460513,,D,0
216,16,0.193519281,0.000149359,0.737395806,0.848474003,0.264629312,0.762442717,0.610270718,0.760237799,0.638921839,0.789299315,0.747711239,,A,0
